date,stock,pnl,trades
2025-04-02,NVDA,600,1
2025-04-03,AAPL,6500,2
2025-04-03,QQQ,6500,2
2025-04-03,TSLA,6000,1
2025-04-08,AMD,4500,1
2025-04-09,TSLA,4700,1
2025-04-10,TSLA,100,1
2025-04-15,TSLA,6700,1
2025-04-16,TSLA,-3000,1
2025-04-22,AAPL,7000,1
2025-04-23,TSLA,150,1
2025-04-29,NVDA,2100,1
2025-05-01,TSLA,3500,1
2025-05-05,AMD,1200,1
2025-05-05,TSLA,1200,1
2025-05-06,TSLA,-5000,1
2025-05-08,TSLA,-200,1
2025-05-10,TSLA,75000,1
2025-05-13,TSLA,15300,1
2025-05-14,TSLA,6000,1
2025-05-16,TSLA,-2500,1
2025-05-19,NVDA,1400,1
2025-05-20,TSLA,-3900,1
2025-05-21,TSLA,-22000,1
2025-05-27,TSLA,25000,1
2025-05-29,NVDA,-3400,1
2025-05-29,SPY,-3400,1
2025-05-30,TSLA,12000,1
2025-06-02,TSLA,1400,1
2025-06-09,TSLA,9000,1
2025-06-10,AMD,5000,1
2025-06-13,TSLA,7000,1
2025-06-17,NVDA,-1800,1
2025-06-17,PLTR,-1800,1
2025-06-17,AMD,7500,1
2025-06-18,TSLA,9800,1
2025-06-23,TSLA,50000,1
2025-06-24,NVDA,7200,1
2025-06-25,NVDA,13000,1
2025-06-26,NVDA,21000,1
2025-06-27,NVDA,2000,1
2025-07-01,AAPL,6000,1
2025-07-02,NVDA,9400,1
2025-07-03,AAPL,2000,1
2025-07-08,NVDA,15000,1
2025-07-08,TSLA,15000,1
2025-07-09,NVDA,-3500,1
2025-07-09,META,-3500,1
2025-07-10,TSLA,10000,1
2025-07-11,NVDA,21000,1
2025-07-14,PLTR,9000,1
2025-07-15,TSLA,19000,1
2025-07-15,AMD,19000,1
2025-07-17,HOOD,11000,1
2025-07-18,TSLA,19000,1
2025-07-30,AMD,2000,1
2025-07-31,META,-7500,1
2025-08-01,TSLA,11500,1
2025-08-04,NVDA,6200,1
2025-08-04,TSLA,6200,1
2025-08-06,AAPL,20000,1
2025-08-07,AMD,15000,1
2025-08-07,TSLA,15000,1
2025-08-08,TSLA,35000,1
2025-08-13,TSLA,1000,1
2025-08-13,AMD,1000,1
2025-08-14,NVDA,8400,1
2025-08-18,NVDA,2000,1
2025-08-19,TSLA,20000,1
2025-08-20,AMD,13900,1
2025-08-22,TSLA,25000,1
2025-08-25,TSLA,700,1
2025-08-25,AAPL,700,1
2025-08-27,TSLA,800,1
2025-08-28,AMD,-2600,1
2025-08-29,TSLA,2700,1
2025-08-29,NVDA,2700,1
2025-09-02,TSLA,-5000,1
2025-09-02,NVDA,-5000,1
2025-09-03,NVDA,200,1
2025-09-03,AMD,200,1
2025-09-04,AAPL,3300,1
2025-09-05,TSLA,41000,1
2025-09-08,NVDA,6500,1
2025-09-11,TSLA,22000,1
2025-09-12,TSLA,96000,1
2025-09-15,TSLA,-7500,1
2025-09-15,PLTR,-7500,1
2025-09-16,AAPL,15000,1
2025-09-18,PLTR,4000,1
2025-09-19,TSLA,7000,1
2025-09-22,TSLA,50000,1
2025-09-23,PLTR,100,1
2025-09-24,TSLA,15500,1
2025-09-25,TSLA,490,1
2025-09-25,NVDA,490,1
2025-09-26,AAPL,2000,1
2025-09-29,NVDA,3900,1
2025-09-30,NVDA,23000,1
2025-10-01,TSLA,13000,1
2025-10-01,AMD,13000,1
2025-10-09,NVDA,-3000,1
2025-10-09,AMD,-3000,1
2025-10-17,TSLA,21000,1
2025-10-20,TSLA,21000,1
2025-10-21,AAPL,46,1
2025-10-22,GOOGL,145,1
2025-10-23,TSLA,28000,1
2025-10-27,TSLA,15000,1
2025-10-27,NVDA,15000,1
2025-10-28,TSLA,24000,1
2025-10-29,NVDA,7500,1
2025-10-29,AMD,7500,1
2025-10-31,TSLA,7000,1
2025-11-03,TSLA,13000,1
2025-11-03,NVDA,13000,1
2025-11-04,TSLA,5200,1
2025-11-04,AAPL,5200,1
2025-11-05,AMD,19000,1
2025-11-06,TSLA,8000,1
2025-11-07,TSLA,2000,1
2025-11-10,QQQ,650,1
2025-11-12,AAPL,10000,1
2025-11-12,AMD,10000,1
2025-11-13,NVDA,3800,1
2025-11-14,TSLA,29000,1
2025-11-17,TSLA,48000,1
2025-11-18,TSLA,18400,1
2025-11-19,TSLA,5800,1
2025-11-19,GOOGL,5800,1
2025-11-20,AAPL,15000,1
2025-11-24,TSLA,15000,1
2025-11-24,GOOGL,15000,1
2025-11-25,NVDA,550,1
2025-11-26,HOOD,-3000,1
